F3_canc,F3_noncanc,F4_canc,F4_noncanc
-0.000885423690922551,-0.000931948673578603,-0.000500835399715759,-0.000500835399715759
-0.000764699285460756,-0.000764699285460756,-0.000843823123695849,-0.000735589506945686
-5.55956508501835e-05,-9.32990025405933e-05,-0.00144794948998694,-0.00144794948998694
-0.000449747500897291,-0.000449747500897291,-0.00139336951648519,-0.00139589289762047
-0.00232973391485801,-0.00213816317453639,-0.00316825574349935,-0.00312933203985158
-0.00122868108729321,-0.00122868108729321,-0.00241032771690016,-0.00238294575172877
-0.000449590855707213,-0.000657798499284035,-0.00099160881693873,-0.000900384431524015
-0.00120728345350498,-0.00124490384484945,-0.00050266954958971,-0.000557553629840909
-1.03917003425077e-05,-0.000371700980972815,0.000860338462085865,0.000792060315416905
5.30764508917592e-05,-3.21836537465924e-05,0.00011926957662503,9.95928526907794e-05
-0.000392697154756847,-0.00035615123118102,0.000748967122837072,0.000717579478522771
-7.05346511173799e-05,-6.25258867966869e-05,0.000789734984762317,0.000700600888709486
-0.000886919702563688,-0.000879366993656615,0.000714484753988675,0.000689532556214231
-0.000628679747667091,-0.000665860996924207,-5.9137546250109e-05,0.000137846131787161
-0.0060993432675413,-0.0061050300420328,-0.00989693947933097,-0.00965234720508796
5.71451445196572e-05,3.808092245864e-05,-0.000964595498735808,-0.000964595498735808
-7.88700569396321e-05,-7.88700569396321e-05,-0.000666774507994901,-0.000628744022007443
3.69241221780077e-05,3.69241221780077e-05,-0.000131651449960995,-0.000125156637869717
0.000446601884631654,0.000427979993754163,-0.000424299682468595,-0.000417144958249257
-0.000778254808613643,-0.000759193335178923,0.00104319920397285,0.000947868986296639
-0.00116381678402648,-0.00120067755483178,-0.000897324647408906,-0.00105722645553671
-0.00118208167091614,-0.00119616212546532,-0.000475655850470504,-0.000589660978026394
-0.000283173396274913,-0.000275588728776007,-0.00026931837010075,-0.000403938184836751
-0.00106250665282764,-0.00109406689448762,-0.0002169152026861,-0.00022789035772417
-0.000652068528456372,-0.000787944125207796,0.000283775949788783,0.000192346170263492
-0.000124504093433712,-0.000263119858071764,-0.00117645033478582,-0.00124569723430427
-0.00140080628963587,-0.00139228872586287,-0.000844190918165212,-0.000869659798492196
-0.00123188918821115,-0.00131406512140554,-0.000314133982020062,-0.000263072258765297
-0.00113873475533059,-0.00121697681732367,-0.000296447655258154,-0.000277093392048643
